"","Agency_cd","Name","Site_no","Datetime","Tz_cd","Ph","Ph-Status","Do","Do-Status","Sc","Sc-Status","Turb_fnu","Turb-Status","Wl_elev","Wl_elev-Status","Temp_c","Temp-Status","Q_cfs","Q-Status","Stage_ft","Stage - Status","Precip_in","Precip-Status","Waterbody","Lcod","Ecoli_mpn","Fecal_cfu","Turbidity_ntu"
"1","USGS","Pearson","3451500","1558519200","EDT","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"18.7","A","2280","A","2.42","A","0","A","FBR","FRBECOLI2","130","57","2.5"
"2","USGS","Pearson","3451500","1559123460","EDT","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"20.6","A","1870","A","2.16","A","0","A","FBR","FRBECOLI2","77.1","29","3.1"
"3","USGS","Pearson","3451500","1559728500","EDT","7.3","A","8.4","A","46","A","3.6","A","NA",NA,"20","A","1550","A","1.96","A","0","A","FBR","FRBECOLI2","58.3","53","1.9"
"4","USGS","Pearson","3451500","1560333300","EDT","6.8","A","8.4","A","39","A","19.9","A","NA",NA,"18.2","A","3610","A","3.17","A","0","A","FBR","FRBECOLI2","488","270","21"
"5","USGS","Pearson","3451500","1560939120","EDT","6.8","A","7.9","A","42","A","58.9","A","NA",NA,"19.7","A","4930","A","3.85","A","0","A","FBR","FRBECOLI2","1990","1100","65"
"6","USGS","Pearson","3451500","1561542600","EDT","7","A","8.1","A","44","A","14.2","A","NA",NA,"20.5","A","2410","A","2.5","A","0","A","FBR","FRBECOLI2","260","140","3.7"
"7","USGS","Pearson","3451500","1562754600","EDT","7","A","7.6","A","49","A","14","A","NA",NA,"23.2","A","1550","A","1.96","A","0","A","FBR","FRBECOLI2","162","100","9.7"
"8","USGS","Pearson","3451500","1563358080","EDT","7","A","7.6","A","54","A","28.1","A","NA",NA,"22.7","A","1830","A","2.14","A","0","A","FBR","FRBECOLI2","649","310","31"
"9","USGS","Pearson","3451500","1563786600","EDT","7","A","7.4","A","52","A","20.5","A","NA",NA,"23.5","A","1490","A","1.93","A","0","A","FBR","FRBECOLI2","347","190","NULL"
"10","USGS","Pearson","3451500","1563871200","EDT","6.9","A","7.5","A","59","A","79.8","A","NA",NA,"22.3","A","2170","A","2.35","A","0","A","FBR","FRBECOLI2","3030","2100","NULL"
"11","USGS","Pearson","3451500","1563963000","EDT","6.9","A","7.9","A","50","A","67.1","A","NA",NA,"19.9","A","2340","A","2.46","A","0","A","FBR","FRBECOLI2","2420","650","65"
"12","USGS","Pearson","3451500","1564050000","EDT","7","A","8.1","A","47","A","22.2","A","NA",NA,"19.7","A","1740","A","2.09","A","0","A","FBR","FRBECOLI2","507","200","NULL"
"13","USGS","Pearson","3451500","1564476300","EDT","7.1","A","7.8","A","51","A","8.9","A","NA",NA,"21.6","A","1230","A","1.75","A","0","A","FBR","FRBECOLI2","114","98","NULL"
"14","USGS","Pearson","3451500","1564562400","EDT","7","A","7.8","A","52","A","8.9","A","NA",NA,"21.8","A","1250","A","1.76","A","0","A","FBR","FRBECOLI2","145","66","NULL"
"15","USGS","Pearson","3451500","1564564440","EDT","7.1","A","7.8","A","52","A","8.7","A","NA",NA,"21.7","A","1260","A","1.77","A","0","A","FBR","FRBECOLI2","162","120","8"
"16","USGS","Pearson","3451500","1564648800","EDT","7","A","7.9","A","49","A","9.4","A","NA",NA,"20.9","A","1400","A","1.87","A","0","A","FBR","FRBECOLI2","236","140","NULL"
"17","USGS","Pearson","3451500","1564749000","EDT","7.1","A","8","A","52","A","22.4","A","NA",NA,"21.1","A","1580","A","1.99","A","0","A","FBR","FRBECOLI2","818","460","NULL"
