"","Datetime","Turb","Ecoli","Arithmetic - Predicted Ecoli","Predicted Ecoli With Duans Smearing Adjustment","Sd","Neg Sd","1.96 Sd","Neg 1.96 Sd","Agency_cd","Name","Site_no","Tz_cd","Ph","Ph-Status","Do","Do-Status","Sc","Sc-Status","Turb_fnu","Turb-Status","Wl_elev","Wl_elev-Status","Temp_c","Temp-Status","Q_cfs","Q-Status","Stage_ft","Stage - Status","Precip_in","Precip-Status","Waterbody","Lcod","Ecoli_mpn","Fecal_cfu","Turbidity_ntu"
"1","1558519200","3","130","45.9046097345263","55.7440731375692","85.7543776631643","24.5728935630108","156.242902983208","13.4869050346923","USGS","Pearson","3451500","EDT","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"18.7","A","2280","A","2.42","A","0","A","FBR","FRBECOLI2","130","57","2.5"
"2","1559123460","3","77","45.9046097345263","55.7440731375692","85.7543776631643","24.5728935630108","156.242902983208","13.4869050346923","USGS","Pearson","3451500","EDT","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"20.6","A","1870","A","2.16","A","0","A","FBR","FRBECOLI2","77.1","29","3.1"
"3","1559728500","3.7","50","59.8808785460537","72.7160974141231","111.863438189262","32.0544377456069","203.813132304737","17.5931726032547","USGS","Pearson","3451500","EDT","7.3","A","8.4","A","46","A","3.6","A","NA",NA,"20","A","1550","A","1.96","A","0","A","FBR","FRBECOLI2","58.3","53","1.9"
"4","1560333300","19.9","488","504.995405429186","613.239083769143","943.381655258158","270.325756371424","1718.82407003873","148.369087883928","USGS","Pearson","3451500","EDT","6.8","A","8.4","A","39","A","19.9","A","NA",NA,"18.2","A","3610","A","3.17","A","0","A","FBR","FRBECOLI2","488","270","21"
"5","1560939120","58.9","1990","1997.7766582603","2425.99182946175","3732.04554030343","1069.41663310068","6799.718512015","586.952470052617","USGS","Pearson","3451500","EDT","6.8","A","7.9","A","42","A","58.9","A","NA",NA,"19.7","A","4930","A","3.85","A","0","A","FBR","FRBECOLI2","1990","1100","65"
"6","1561542600","15.9","205","379.992935452699","461.442850906169","709.864605855394","203.411509466601","1293.36028977468","111.643006311192","USGS","Pearson","3451500","EDT","7","A","8.1","A","44","A","14.2","A","NA",NA,"20.5","A","2410","A","2.5","A","0","A","FBR","FRBECOLI2","260","140","3.7"
"7","1562754600","14","162","323.392257033351","392.710050961002","604.128907823451","173.1129739941","1100.7117876264","95.0135658441976","USGS","Pearson","3451500","EDT","7","A","7.6","A","49","A","14","A","NA",NA,"23.2","A","1550","A","1.96","A","0","A","FBR","FRBECOLI2","162","100","9.7"
"8","1563358080","28.1","649","781.997980496348","949.616016132539","1460.85002223378","418.606175988753","2661.64194198255","229.753233090725","USGS","Pearson","3451500","EDT","7","A","7.6","A","54","A","28.1","A","NA",NA,"22.7","A","1830","A","2.14","A","0","A","FBR","FRBECOLI2","649","310","31"
"9","1563786600","20.5","347","524.369450883506","636.765875806412","979.574299534218","280.696748731171","1784.76640397464","154.061237598115","USGS","Pearson","3451500","EDT","7","A","7.4","A","52","A","20.5","A","NA",NA,"23.5","A","1490","A","1.93","A","0","A","FBR","FRBECOLI2","347","190","NULL"
"10","1563871200","79.8","3030","2935.59522920628","3564.82793570281","5483.98392682984","1571.43410059562","9991.71811387535","862.486236253141","USGS","Pearson","3451500","EDT","6.9","A","7.5","A","59","A","79.8","A","NA",NA,"22.3","A","2170","A","2.35","A","0","A","FBR","FRBECOLI2","3030","2100","NULL"
